X,Y,Z
3038.3,1981.76,1
3051.06,2029.41,1
2914.89,2024.12,0
2778.72,2018.82,1
2778.72,1976.47,1
2778.72,1934.12,1
2782.98,1891.76,1
2787.23,1849.41,1
2787.23,1801.76,1
2787.23,1754.12,1
2791.49,1711.76,1
2795.74,1669.41,1
2800.0,1627.06,1
2804.26,1584.71,1
2808.51,1547.65,1
2812.77,1510.59,1
2778.72,1510.59,1
2744.68,1510.59,1
2710.64,1510.59,1
2676.6,1510.59,1
2642.55,1521.18,1
2608.51,1531.76,1
2617.02,1526.47,0
2625.53,1521.18,1
2634.04,1500.0,1
2642.55,1478.82,1
2676.6,1484.12,1
2710.64,1489.41,1
2744.68,1494.71,1
2778.72,1500.0,1
2804.26,1500.0,0
2829.79,1500.0,1
2821.28,1542.35,1
2812.77,1584.71,1
2804.26,1627.06,1
2795.74,1669.41,1
2795.74,1711.76,1
2795.74,1754.12,1
2795.74,1796.47,1
2795.74,1838.82,1
2791.49,1875.88,1
2787.23,1912.94,1
2782.98,1955.29,1
2778.72,1997.65,1
2757.45,2018.82,0
2736.17,2040.0,1
2702.13,2045.29,1
2668.09,2050.59,1
2634.04,2066.47,1
2600.0,2082.35,1
2565.96,2077.06,1
2531.91,2071.76,1
2497.87,2061.18,1
2463.83,2050.59,1
2429.79,2029.41,1
2395.74,2008.24,1
2361.7,1934.12,1
2327.66,1860.0,1
2408.51,1838.82,0
2489.36,1817.65,1
2523.4,1870.59,1
2557.45,1923.53,1
2591.49,1934.12,1
2625.53,1944.71,1
2646.81,1997.65,0
2668.09,2050.59,1
2659.57,2055.88,1
2651.06,2061.18,1
2651.06,2066.47,1
2651.06,2071.76,1
2642.55,2077.06,1
2634.04,2082.35,1
2434.04,1965.88,0
2234.04,1849.41,1
2200.0,1934.12,1
2165.96,2018.82,1
2136.17,2045.29,1
2106.38,2071.76,1
2072.34,2082.35,1
2038.3,2092.94,1
2000.0,2098.24,1
1961.7,2103.53,1
1927.66,2077.06,1
1893.62,2050.59,1
1863.83,2018.82,1
1834.04,1987.06,1
1800.0,1891.76,1
1765.96,1796.47,1
1868.09,1833.53,0
1970.21,1870.59,1
2000.0,1912.94,1
2029.79,1955.29,1
2063.83,1950.0,1
2097.87,1944.71,1
2106.38,1717.06,0
